system,SOD,nPRN,vtec_1,vtec_2,vtec_3,stec_1,stec_2,stec_3,roti_1,roti_2,roti_3,ipplat_1,ipplat_2,ipplat_3,ipplon_1,ipplon_2,ipplon_3
QZS,1,3,,-124.42269557439143,-120.9449996562443,,-138.45941775442697,-131.19866746280996,,,,,17.347267508467876,17.587088497834745,,101.33937128295561,101.07322656133864
QZS,31,3,,-124.22405147795814,-120.81492886972464,,-138.22556853194584,-131.03705544634033,,,,,17.340227750940073,17.5870978005813,,101.33819668689203,101.07322834636122
QZS,61,3,,-124.15665279235319,-120.65959452363124,,-138.16333899188044,-130.84405884758337,,,,,17.333179526786868,17.587107116752286,,101.33702710549659,101.07323013425122
QZS,91,3,,-123.97638643331065,-120.56228438905916,,-137.9536030430178,-130.7231453590406,,,,,17.326122789197047,17.587116446302915,,101.33586258357397,101.07323192499348
QZS,121,3,,-123.72058458583473,-120.45367130558537,,-137.64502430010407,-130.58819041156386,,,,,17.319057491149383,17.587125789188306,,101.33470316605309,101.07323371857277
QZS,151,3,,-123.64731203026895,-120.31829510888764,,-137.57536929772874,-130.4199880232593,,,,,17.311983585367575,17.587135145363547,,101.33354889798053,101.07323551497387
QZS,181,3,,-123.55630108436823,-120.18900970513289,,-137.48261583279628,-130.25935229390177,,,,,17.304901024382303,17.587144514783624,,101.33239982453185,101.07323731418148
QZS,211,3,,-123.44343944142955,-120.07051011617995,,-137.3613425560181,-130.11211578412485,,,,,17.297809760468287,17.587153897403468,,101.33125599100222,101.07323911618037
QZS,241,3,,-123.29664717326261,-119.90605420075768,,-137.19567106392773,-129.90778840107822,,,,,17.29070974569025,17.587163293177934,,101.33011744281507,101.07324092095527
QZS,271,3,,-123.2124878599167,-119.79087392684434,,-137.11220574631434,-129.76467568919185,,,,,17.283600931882813,17.587172702061824,,101.32898422551976,101.07324272849083
QZS,301,3,,-123.08381249559959,-119.65972673394269,,-136.9704419510919,-129.6017275973747,,0.11083405686423145,0.03613814448906131,,17.276483270651365,17.587182124009846,,101.32785638479281,101.07324453877177
QZS,331,3,,-122.9168579212394,-119.5403891874974,,-136.77848596171674,-129.45345059390354,,0.05075841434793042,0.015374853244848911,,17.269356713383424,17.587191558976652,,101.3267339664407,101.0732463517827
QZS,361,3,,-122.63732240024984,-119.38937632226262,,-136.43866394884023,-129.26582392132565,,0.11575263336508364,0.03226171167127364,,17.2622212112305,17.587201006916835,,101.32561701639811,101.07324816750831
QZS,391,3,,-122.40494898926877,-119.2305660374801,,-136.16069902000862,-129.06851078924404,,0.05587850304763021,0.015368929840306666,,17.25507671511494,17.5872104677849,,101.3245055807301,101.07324998593327
QZS,421,3,,-122.23622426476228,-119.11501300200523,,-135.96635356243144,-128.92493561643442,,0.12321783639639343,0.015283588273626737,,17.247923175743317,17.587219941535302,,101.3233997056351,101.07325180704213
QZS,451,3,,-122.14614680671505,-119.00108350905887,,-135.87547573951207,-128.78337745580632,,0.13691560449229062,0.027992788080722638,,17.240760543588674,17.58722942812242,,101.32229943744348,101.0732536308195
QZS,481,3,,-121.89663605426007,-118.89354467386737,,-135.57487480904655,-128.6497584101458,,0.11016146419670225,0.015495907642133743,,17.233588768898947,17.587238927500565,,101.32120482261952,101.07325545725003
